user_id,order_id,short_code,product_id,product_name,quantity,price_wholesale,category_ids,category_names
1101,900b8820-a3b7-4a72-b62f-4ad57181b616,7GIOXEMM,8efc1194-0f18-4ab3-a6b4-ccbc04dd56d5,iPhone XR Clear HD Case,4,2.99,999,iPhone XR Cases
1101,900b8820-a3b7-4a72-b62f-4ad57181b616,7GIOXEMM,8f1e1165-f342-41da-980d-77956639ca7f,iPhone XR Heavy Duty Defender Case -FLAG,1,4.25,999,iPhone XR Cases 
1101,900b8820-a3b7-4a72-b62f-4ad57181b616,7GIOXEMM,8f1e1165-edb4-48a2-b21f-7699591700f5,iPhone XR Marble Defender Heavy Duty Shockproof Three Layer Protective Case - GREEN,1,3.75,999,iPhone XR Cases
1101,900b8820-a3b7-4a72-b62f-4ad57181b616,7GIOXEMM,8f1e1165-eeca-4d0a-8f0b-608576af1107,iPhone XR Marble Defender Heavy Duty Shockproof Three Layer Protective Case - DARK PINK,1,3.75,999,iPhone XR Cases
1101,900b8820-a3b7-4a72-b62f-4ad57181b616,7GIOXEMM,8f1e1165-d332-4a76-b22c-b846ed7a9083,iPhone XR Marble Defender Heavy Duty Shockproof Three Layer Protective Case - BLACK,1,3.75,999,iPhone XR Cases
1101,900b8820-a3b7-4a72-b62f-4ad57181b616,7GIOXEMM,8f1e1165-f188-4a4a-a643-37950ca2cda1,iPhone XR Marble Defender Heavy Duty Shockproof Three Layer Protective Case - GOLD,1,3.75,999,iPhone XR Cases
1101,900b8820-a3b7-4a72-b62f-4ad57181b616,7GIOXEMM,8f1e1165-e9ae-42f9-bc4f-1eea340596d1,iPhone XR Heavy Duty Defender Case -CAMO GREEN,1,4.25,999,iPhone XR Cases
1101,900b8820-a3b7-4a72-b62f-4ad57181b616,7GIOXEMM,8f82cfd1-6c56-422a-a118-e9dbcb094af5,iPhone 11 Pro Dual Layer Protection Case - BLACK,3,2.50,8ee7edaa-31f0-48db-a6fa-c4010f92b910,"iPhone 11 Pro (5.8"")"
1101,900b8820-a3b7-4a72-b62f-4ad57181b616,7GIOXEMM,8f82cfd0-2bb5-47a8-8849-9261af71ad2e,iPhone 11 Pro Dual Layer Protection Case - PURPLE,1,2.50,8ee7edaa-31f0-48db-a6fa-c4010f92b910,"iPhone 11 Pro (5.8"")"
1101,900b8820-a3b7-4a72-b62f-4ad57181b616,7GIOXEMM,8f82cfd1-4b08-4b13-b100-f6d1bc5ff733,iPhone 11 Pro Dual Layer Protection Case - RED,1,2.50,8ee7edaa-31f0-48db-a6fa-c4010f92b910,"iPhone 11 Pro (5.8"")"
1101,900b8820-a3b7-4a72-b62f-4ad57181b616,7GIOXEMM,8f82cfcf-fcf7-46ab-a197-d2048d45cdb8,iPhone 11 Pro  Dual Layer Protection Case -Gray,1,2.50,8ee7edaa-31f0-48db-a6fa-c4010f92b910,"iPhone 11 Pro (5.8"")"
1101,900b8820-a3b7-4a72-b62f-4ad57181b616,7GIOXEMM,8f82cfd0-5d37-4676-ae2f-b1d010049f8a,iPhone 11 Pro Dual Layer Protection Case - PINK,1,2.50,8ee7edaa-31f0-48db-a6fa-c4010f92b910,"iPhone 11 Pro (5.8"")"
1101,900b8820-a3b7-4a72-b62f-4ad57181b616,7GIOXEMM,5df057fc-9f95-4e93-8e84-d8d8b6313786,iPhone 11 Pro Silicone Case - BLACK (Full Bottom Cover),2,2.50,8ee7edaa-31f0-48db-a6fa-c4010f92b910,"iPhone 11 Pro (5.8"")"
1101,900b8820-a3b7-4a72-b62f-4ad57181b616,7GIOXEMM,8ef99b47-d42f-4627-a507-f56418fde511,iPhone 11 Pro Silicone Case - BLACK (Bottom Open),2,3.50,8ee7edaa-31f0-48db-a6fa-c4010f92b910,"iPhone 11 Pro (5.8"")"
