user_id,order_id,product_id,category_id,product_name
1100,00dff8e7-8325-4883-8e15-f1ba68d8cb0e,fe849f4f-904a-4e77-a0f8-05a7dadde04e,,iPhone 11 Pro Heavy Duty Defender Case - PINK / WHITE
1100,00dff8e7-8325-4883-8e15-f1ba68d8cb0e,5df057fc-9f95-4e93-8e84-d8d8b6313786,8ee7edaa-31f0-48db-a6fa-c4010f92b910,iPhone 11 Pro Silicone Case - BLACK (Full Bottom Cover)
1100,00dff8e7-8325-4883-8e15-f1ba68d8cb0e,beba627b-fad2-4d4f-aa8c-be0938bfa8a5,8ee7edaa-31f0-48db-a6fa-c4010f92b910,iPhone 11 Pro Protective Glitter Liquid Defender Bumper Case Cover - RED
1100,00dff8e7-8325-4883-8e15-f1ba68d8cb0e,3a2ed5a6-a99f-4556-9a3d-f3b2573c246f,8ee7edaa-31f0-48db-a6fa-c4010f92b910,iPhone 11 Pro OT SM with Grip Red
1100,00dff8e7-8325-4883-8e15-f1ba68d8cb0e,e9135d4c-e363-48c3-ba7b-7a18b3145f0a,,iPhone 11 Pro Hevy Duty Defender Case - CLEAR
1100,00dff8e7-8325-4883-8e15-f1ba68d8cb0e,3afdd5e0-88d0-4f34-baa4-c218c607789e,8ee7edaa-31f0-48db-a6fa-c4010f92b910,iPhone 11 Pro Max Protective Glitter Liquid Defender Bumper Case Cover - LIGHT PINK
1100,00dff8e7-8325-4883-8e15-f1ba68d8cb0e,e1e1dac0-153f-4000-88dc-d5185d53bd04,,iPhone 11 Pro Heavy Duty Defender Case - TEAL / LIGHT BLUE
1100,00dff8e7-8325-4883-8e15-f1ba68d8cb0e,20438cda-af49-4c46-a659-3376ee823610,8ee7edaa-31f0-48db-a6fa-c4010f92b910,iPhone 11 Pro Protective Glitter Liquid Defender Bumper Case Cover - BLUE
1100,00dff8e7-8325-4883-8e15-f1ba68d8cb0e,1655562e-2b58-4f61-ac9c-333530202f41,8ee7edaa-31f0-48db-a6fa-c4010f92b910,iPhone 11 Pro Protective Glitter Liquid Defender Bumper Case Cover - GOLD
1100,00dff8e7-8325-4883-8e15-f1ba68d8cb0e,bee36a53-75a7-4d73-8ed1-be09cb4bc3de,8ee7edaa-31f0-48db-a6fa-c4010f92b910,iPhone 11 Pro OT SM with Grip Yellow
1100,00dff8e7-8325-4883-8e15-f1ba68d8cb0e,f848b34f-f277-4db0-b98f-53b6e4f2b0cd,8ee7edaa-31f0-48db-a6fa-c4010f92b910,iPhone 11 Pro Protective Glitter Liquid Defender Bumper Case Cover - HOT PINK
1100,00dff8e7-8325-4883-8e15-f1ba68d8cb0e,204f9b4b-2a73-4264-a387-9d9024bfd837,8ee7edaa-31f0-48db-a6fa-c4010f92b910,iPhone 11 Pro Sparkle Purple
1100,00dff8e7-8325-4883-8e15-f1ba68d8cb0e,b6bd3e8d-a806-43eb-b72a-38f9e4b7fb00,8ee7edaa-31f0-48db-a6fa-c4010f92b910,iPhone 11 Pro CLEAR HD Case
1100,00dff8e7-8325-4883-8e15-f1ba68d8cb0e,489f1edf-3832-4c86-b080-f338296aa830,8ee7edaa-31f0-48db-a6fa-c4010f92b910,iPhone 11 Pro OT SM with Grip Sand Pink
1100,00dff8e7-8325-4883-8e15-f1ba68d8cb0e,76e83cea-fc2e-4aad-a128-6dac176ea511,8ee7edaa-31f0-48db-a6fa-c4010f92b910,iPhone 11 Pro Protective Glitter Liquid Defender Bumper Case Cover - WHITE
1100,00dff8e7-8325-4883-8e15-f1ba68d8cb0e,f292bfa2-f11b-43c3-9053-1fe5f9e30a08,,iPhone 11 Pro Heavy Duty Defender Case - DARK BLUE
1100,00dff8e7-8325-4883-8e15-f1ba68d8cb0e,822efa1d-318a-4b87-97a0-241b1e50bfbd,8ee7edaa-31f0-48db-a6fa-c4010f92b910,iPhone 11 Pro OT SM with Grip Dark Blue
1100,00dff8e7-8325-4883-8e15-f1ba68d8cb0e,bb019786-a8fe-4107-a59d-577859407b1f,8ee7edaa-31f0-48db-a6fa-c4010f92b910,iPhone 11 Pro OT SM with Grip Turquaz
1100,00dff8e7-8325-4883-8e15-f1ba68d8cb0e,d4c3d6f3-bf98-4acc-acc7-0d87a00336aa,8ee7edaa-31f0-48db-a6fa-c4010f92b910,iPhone 11 Pro Protective Glitter Liquid Defender Bumper Case Cover - BLACK
1100,00dff8e7-8325-4883-8e15-f1ba68d8cb0e,3921b850-e11d-47c5-b0f7-5c162ac33f69,8ee7edaa-31f0-48db-a6fa-c4010f92b910,iPhone 11 Pro Heavy Duty Defender Case - RED / BLACK
1100,00dff8e7-8325-4883-8e15-f1ba68d8cb0e,59227abe-045b-4564-b998-a1a0579ec0bb,8ee7edaa-31f0-48db-a6fa-c4010f92b910,iPhone 11 Pro OT SM with Grip Black
1100,00dff8e7-8325-4883-8e15-f1ba68d8cb0e,000051b3-1cbd-47d3-8e00-e2e40475734c,8ee7edaa-31f0-48db-a6fa-c4010f92b910,iPhone 11  Pro Defender Case Black
1100,00dff8e7-8325-4883-8e15-f1ba68d8cb0e,e00b644f-00c8-4fb8-8f78-87931c01f91c,8ee7edaa-31f0-48db-a6fa-c4010f92b910,iPhone 11  Pro Heavy Duty Defender Case - GRAY / WHITE
1100,00dff8e7-8325-4883-8e15-f1ba68d8cb0e,b8c7de59-7ac5-4599-8d16-82eae895acbf,8ee7edaa-31f0-48db-a6fa-c4010f92b910,"iPhone 11 Pro TPU ""SOLID"" Back Clear"
